"№ п/п, № Отчета","Наименование объекта","Адрес объекта","Цель испытаний","Дата выполнения работ","Исполнители работ","Наименование заказчика",Электроустановка,"Среднее время заполнения линии (минуты)","Количество щитов","Наличие цепи: кол-во точек","Сопротивление изоляции: кол-во линий","Фаза-нуль: количество линий","УЗО: Количество УЗО","Автоматы: Количество Автоматов","Заземлителей: Кол-во ЗУ","Молниезащита: Кол-во МЗ","Затраченное время общее (минуты)","Затраченное время Планшетное (минуты)","Затраченное время Вебверсия (минуты)","Затраченное эффективное время общее (минуты)","Затраченное эффективное время Планшетное (минуты)","Затраченное эффективное время Вебверсия (минуты)","Среднее время межу щитами общее (минуты)","Среднее время межу щитами Планшетное (минуты)","Среднее время межу щитами Вебверсия (минуты)","Время старта","Время окончания",Инженер
"29/04/21-4.1 ","ЖК «Андерсен» ","г. Москва, п. Десеновское, ул. Нильса Бора, д. 7",Эксплуатационные,2021-04-29,"Рязанов А.В., Травин Е.В., Мусташкин А.Р.","ООО «Комплексный сервис»","Новая - Удовлетворительно",0.57142857142857,2,-,6,-,-,-,-,-,4,-,4,4,-,4,-,-,-,"2021-05-11 11:13","2021-05-11 11:15","Травин Евгений"
29/04/21-4.2,"ЖК «Андерсен» ","г. Москва, п. Десеновское, ул.Андерсена, д.12, к.1",Эксплуатационные,2021-04-29,"Рязанов А.В., Травин Е.В., Мусташкин А.Р.","ООО «Комплексный сервис»","Новая - Удовлетворительно",0.28571428571429,2,-,3,-,-,-,-,-,2,-,2,2,-,2,-,-,-,"2021-05-11 11:16","2021-05-11 11:17","Травин Евгений"
29/04/21-4.3,"ЖК «Андерсен» ","г. Москва, п. Десеновское, ул.Андерсена, д.12, к.2",Эксплуатационные,2021-04-29,"Рязанов А.В., Травин Е.В., Мусташкин А.Р.","ООО «Комплексный сервис»","Новая - Удовлетворительно",0.16666666666667,1,-,3,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2021-05-11 11:18","2021-05-11 11:18","Травин Евгений"
29/04/21-4.4,"ЖК «Андерсен» ","г. Москва, п. Десеновское, ул. Нильса Бора, д. 5",Эксплуатационные,2021-04-29,"Рязанов А.В., Травин Е.В., Мусташкин А.Р.","ООО «Комплексный сервис»","Новая - Удовлетворительно",0.16666666666667,1,-,5,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2021-05-11 11:20","2021-05-11 11:22","Травин Евгений"
29/04/21-4.5,"ЖК «Андерсен» ","г. Москва, п. Десеновское, ул. Андерсена, д. 10",Эксплуатационные,2021-04-29,"Рязанов А.В., Травин Е.В., Мусташкин А.Р.","ООО «Комплексный сервис»","Новая - Удовлетворительно",0.16666666666667,1,-,5,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2021-05-11 11:23","2021-05-11 13:47","Травин Евгений"
29/04/21-4.6,"ЖК «Андерсен» ","г. Москва, п. Десеновское, ул. Андерсена, д. 7",Эксплуатационные,2021-04-29,"Рязанов А.В., Травин Е.В., Мусташкин А.Р.","ООО «Комплексный сервис»","Новая - Удовлетворительно",0.16666666666667,1,-,1,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2021-05-11 11:24","2021-05-11 13:47","Травин Евгений"
29/04/21-4.7,"ЖК «Андерсен» ","г. Москва, п. Десеновское, ул. Андерсена, д. 9",Эксплуатационные,2021-04-29,"Рязанов А.В., Травин Е.В., Мусташкин А.Р.","ООО «Комплексный сервис»","Новая - Удовлетворительно",0.16666666666667,1,-,1,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2021-05-11 11:25","2021-05-11 13:48","Травин Евгений"
29/04/21-4.8,"ЖК «Андерсен» ","г. Москва, п. Десеновское, ул. Андерсена, д. 11",Эксплуатационные,2021-04-29,"Рязанов А.В., Травин Е.В., Мусташкин А.Р.","ООО «Комплексный сервис»","Новая - Удовлетворительно",0.16666666666667,1,-,1,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2021-05-11 11:26","2021-05-11 13:48","Травин Евгений"
29/04/21-4.9,"ЖК «Андерсен» ","г. Москва, п. Десеновское, ул. Андерсена, д. 13",Эксплуатационные,2021-04-29,"Рязанов А.В., Травин Е.В., Мусташкин А.Р.","ООО «Комплексный сервис»","Новая - Удовлетворительно",0.16666666666667,1,-,1,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2021-05-11 11:27","2021-05-11 13:48","Травин Евгений"
29/04/21-4.10,"ЖК «Андерсен» ","г. Москва, п. Десеновское, ул. Андерсена, д. 15",Эксплуатационные,2021-04-29,"Рязанов А.В., Травин Е.В., Мусташкин А.Р.","ООО «Комплексный сервис»","Новая - Удовлетворительно",0.16666666666667,1,-,1,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2021-05-11 11:27","2021-05-11 13:48","Травин Евгений"
29/04/21-4.11,"ЖК «Андерсен» ","г. Москва, п. Десеновское, ул. Андерсена, д. 17",Эксплуатационные,2021-04-29,"Рязанов А.В., Травин Е.В., Мусташкин А.Р.","ООО «Комплексный сервис»","Новая - Удовлетворительно",0.16666666666667,1,-,1,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2021-05-11 11:28","2021-05-11 13:48","Травин Евгений"
29/04/21-4.12,"ЖК «Андерсен» ","г. Москва, п. Десеновское, ул. Андерсена, д. 19",Эксплуатационные,2021-04-29,"Рязанов А.В., Травин Е.В., Мусташкин А.Р.","ООО «Комплексный сервис»","Новая - Удовлетворительно",0.16666666666667,1,-,1,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2021-05-11 11:29","2021-05-11 13:48","Травин Евгений"
29/04/21-4.13,"ЖК «Андерсен» ","г. Москва, п. Десеновское, ул. Андерсена, д. 21",Эксплуатационные,2021-04-29,"Рязанов А.В., Травин Е.В., Мусташкин А.Р.","ООО «Комплексный сервис»","Новая - Удовлетворительно",0.16666666666667,1,-,3,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2021-05-11 11:29","2021-05-11 13:48","Травин Евгений"
29/04/21-4.14,"ЖК «Андерсен» ","г. Москва, п. Десеновское, ул. Андерсена, д. 16",Эксплуатационные,2021-04-29,"Рязанов А.В., Травин Е.В., Мусташкин А.Р.","ООО «Комплексный сервис»","Новая - Удовлетворительно",0.16666666666667,1,-,5,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2021-05-11 11:31","2021-05-11 13:48","Травин Евгений"
29/04/21-4.15,"ЖК «Андерсен» ","г. Москва, п. Десеновское, ул. Андерсена, д. 2",Эксплуатационные,2021-04-29,"Рязанов А.В., Травин Е.В., Мусташкин А.Р.","ООО «Комплексный сервис»","Новая - Удовлетворительно",0.25,2,-,2,-,-,-,-,-,3,-,3,3,-,3,-,-,-,"2021-05-11 11:32","2021-05-11 13:48","Травин Евгений"
12/05/21-4.1,"ТРЦ «Европолис» Ростокино ","г. Москва, Проспект Мира, д.211, к.2",Эксплуатационные,2021-05-12,"Рязанов А.В., Травин Е.В, Аксенов С.А.","АО «Каширский двор-Северянин»","Старая - Удовлетворительно",1.148839556004,177,2996,1399,1340,148,1762,2,1,36350,71,36279,2277,71,2206,22.416447368421,-,22.416447368421,"2021-05-12 04:54","2021-07-30 07:58","Травин Евгений"
30/05/21-4.1,"Административное здание","г. Москва, ул. Покровка, д.8",Эксплуатационные,2021-05-30,"Рязанов А.В., Травин Е.В., Мусташкин А.Р.","ООО ""ЮНИГРУПП""","Старая - Удовлетворительно",9.75,3,14,4,3,-,-,-,-,39,37,2,39,37,2,-,-,-,"2021-05-30 05:21","2021-05-30 13:39","Травин Евгений"
01/06/21-4.1,"Главный дом, городская усадьба ХIX-XX в.","г. Москва, Рюмин пер., д. 2/10, стр.1",Эксплуатационные,2021-06-01,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ООО «Акрополь»","Старая - Удовлетворительно",2,13,119,83,81,-,-,-,-,315,253,62,170,149,21,5.4684210526316,1.3684210526316,4.1,"2021-06-01 05:03","2021-06-02 12:56","Травин Евгений"
01/06/21-4.2,"Многоквартирный жилой дом","г. Москва, ул.Большая Садовая, д.10",Эксплуатационные,2021-06-01,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ТСЖ «Большая Садовая д.10»","Старая - Удовлетворительно",1.2884615384615,8,58,51,50,-,-,-,-,67,61,6,67,61,6,-,-,-,"2021-06-01 06:44","2021-06-03 11:49","Травин Евгений"
02/06/21-4.1,"Индивидуальный жилой дом","Московская область, Одинцовский городской округ, посёлок Николина Гора, коттеджный посёлок Никологорское, Успенская улица, 35",Приёмо-сдаточные,2021-06-02,"Рязанов А.В., Травин Е.В., Мусташкин А.Р.","ООО «Элком–Электро»","Новая - Удовлетворительно",1.2837837837838,2,145,68,68,-,-,1,-,1426,99,1327,95,66,29,118.89189189189,0.89189189189189,118,"2021-06-01 18:55","2021-06-03 11:59","Травин Евгений"
08/06/21-4.1,"Многоквартирный жилой дом","г. Чехов, ул.Лопасненская, д.5",Эксплуатационные,2021-06-08,"Рязанов А.В., Травин Е.В., Еселевский И.А.","ООО УК ""ПОРЯДОК""","Новая - Удовлетворительно",1,10,117,55,55,-,-,-,-,65,64,1,65,64,1,-,-,-,"2021-06-16 03:01","2021-06-16 17:05","Травин Евгений"
08/06/21-4.2,"Многоквартирный жилой дом","г. Чехов, ул.Лопасненская, д.3",Эксплуатационные,2021-06-08,"Рязанов А.В., Травин Е.В., Еселевский И.А.","ООО УК ""ПОРЯДОК""","Новая - Удовлетворительно",0.62337662337662,15,151,57,57,-,-,-,-,48,47,1,48,47,1,-,-,-,"2021-06-16 04:25","2021-06-16 17:09","Травин Евгений"
08/06/21-4.3,"Многоквартирный жилой дом","г. Чехов, ул.Лопасненская, д.7",Эксплуатационные,2021-06-08,"Рязанов А.В., Травин Е.В., Еселевский И.А.","ООО УК ""ПОРЯДОК""","Новая - Удовлетворительно",0.44594594594595,13,201,59,59,-,-,-,-,33,32,1,33,32,1,-,-,-,"2021-06-16 05:18","2021-06-16 17:11","Травин Евгений"
08/07/21-4.4,"Многоквартирный жилой дом","г. Чехов, ул.Чеховская 12а",Эксплуатационные,2021-07-08,"Рязанов А.В., Травин Е.В., Еселевский И.А.","ООО УК ""ПОРЯДОК""","Новая - Удовлетворительно",0.42727272727273,21,124,41,39,-,-,-,-,47,46,1,47,46,1,-,-,-,"2021-06-16 07:34","2021-06-16 17:13","Травин Евгений"
16/06/21-4.1,"Многоквартирный жилой дом","Московская область, г.Чехов, с. Новый Быт, ул.Новая, д.43",Эксплуатационные,2021-06-16,"Рязанов А.В., Травин Е.В., Еселевский И.А.","ООО ""УправстройСоюз""","Старая - Удовлетворительно",0.45098039215686,20,182,33,33,-,-,-,-,46,45,1,46,45,1,-,-,-,"2021-06-16 08:56","2021-06-16 17:24","Травин Евгений"
17/06/21-4.1,"ТРЦ ""Европолис""","г. Москва, пр. Мира, д.21, к.2",Эксплуатационные,2021-06-17,"Рязанов А.В., Травин Е.В., Аксенов С.А.","АО ""Каширский двор-Северянин""","Старая - Удовлетворительно",1.091888825865,160,2522,1247,1217,122,1640,2,1,46026,262,45764,1925,172,1753,36.18968834167,0.78260869565217,35.407079646018,"2021-06-17 04:03","2021-08-03 04:11","Травин Евгений"
03/07/21-4.1,"Молниезащита на кровле здания","Московская область, Ленинский городской округ, деревня Мисайлово, Молодёжный бульвар, д.14 ",Приёмо-сдаточные,2021-07-03,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ООО ""УНИВЕРСАЛ-ГРУПП""","Новая - Удовлетворительно",-,1,96,-,-,-,-,-,1,9,-,9,9,-,9,-,-,-,"2021-07-04 08:42","2021-07-04 08:59","Травин Евгений"
10/07/21-4.1,"Помещения клиники АО ""Группа компаний Медси""","г. Москва. ул. Староалексеевская, вл.24, стр.1-7",Приёмо-сдаточные,2021-07-10,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ООО  ""Эксплуатационные строительные системы"" ","Новая - Удовлетворительно",0.61702127659574,8,187,67,67,29,94,1,-,83,69,14,58,44,14,0.80645161290323,0.80645161290323,-,"2021-07-10 02:51","2021-07-11 07:37","Травин Евгений"
30/07/21-4.1,"ТРЦ «Европолис» Ростокино","г. Москва, Проспект Мира, д.211, к.2",Эксплуатационные,2021-07-30,"Рязанов А.В., Травин Е.В., Байнов С.А.","АО «Каширский двор-Северянин»","Старая - Удовлетворительно",0.96953872932985,120,1972,824,789,27,1064,1,1,28662,331,28331,1114,182,932,41.935987892704,1.041958041958,40.894029850746,"2021-07-30 04:57","2021-08-19 09:38","Травин Евгений"
05/08/21-4.1,"Магазин ""TOMSOYER""","г. Котельники,  1-й Покровский пр., д.5, ТРЦ ""Мега Белая Дача""",Приёмо-сдаточные,2021-08-05,"Рязанов А.В., Травин Е.В., Бунин А.В.","ИП Ишмиев Эдгар Ильгизарович","Новая - Удовлетворительно",0.94117647058824,1,65,15,15,6,17,-,-,16,-,16,16,-,16,-,-,-,"2021-08-05 13:47","2021-08-05 17:49","Травин Евгений"
06/09/21-4.1,"Школа №20 городского округа Щёлково корпус 1","МО, гор. округ Щёлково, п. Краснознаменский, ул. Толстого, стр. 1",Эксплуатационные,2021-09-06,"Рязанов А.В., Травин Е.В., Аксенов С.А.","МБОУ СОШ №20 ГОЩ","Старая - Удовлетворительно",1.7558139534884,20,155,85,53,-,-,-,-,151,118,33,151,118,33,-,-,-,"2021-09-05 19:03","2021-09-07 15:05","Травин Евгений"
16/08/21-4.1,"Многоквартирный жилой дом","г. Москва, ул. 26-ти Бакинских Комиссаров, д.7, к.1",Приёмо-сдаточные,2021-08-16,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ООО ""АЛЬТЕРНАТИВА""","Новая - Удовлетворительно",1.4634146341463,3,51,29,29,-,41,1,-,60,48,12,60,48,12,-,-,-,"2021-09-07 04:59","2021-09-07 14:23","Травин Евгений"
08/09/21-4.1,"Административное здание ","г. Москва, ул. Гончарная, д 20/1, стр.1",Эксплуатационные,2021-09-08,"Рязанов А.В., Травин Е.В., Бунин А.В.","АО «Научно-исследовательский институт «Экран»","Старая - Удовлетворительно",0.65445859872611,62,1526,563,562,154,-,2,-,1751,220,1531,411,167,244,8.9460317460317,0.58888888888889,8.3571428571429,"2021-09-08 04:46","2021-09-12 13:56","Травин Евгений"
08/09/21-4.2,"Помещение №301","г. Москва, ул. Гончарная, д 20/1, стр. 1",Эксплуатационные,2021-09-08,"Рязанов А.В., Травин Е.В., Бунин А.В.","АО «Научно-исследовательский институт «Экран»","Старая - Удовлетворительно",2.2857142857143,3,26,7,7,-,-,1,-,30,28,2,16,14,2,1.75,1.75,-,"2021-09-08 03:49","2021-09-12 13:21","Травин Евгений"
09/09/21-4.1,"Магазин парфюмерии и косметики «Л’ЭТУАЛЬ»","г. Москва, ул. Русаковская д.31, ТЦ ""Сокольники"", пом.№ А4",Приёмо-сдаточные,2021-09-09,"Рязанов А.В., Травин Е.В., Лопатин И.А.","ООО «Алькор и Ко»","Новая - Удовлетворительно",0.92957746478873,3,292,53,51,23,69,-,-,79,62,17,66,49,17,0.34210526315789,0.34210526315789,-,"2021-09-09 05:13","2021-09-16 17:30","Травин Евгений"
13/09/21-4.1,"Административно-производственный комплекс","Московская область, г. Лыткарино, ул. Колхозная, д.94В",Эксплуатационные,2021-09-13,"Рязанов А.В., Травин Е.В., Лопатин И.А.","ООО ""ТСП""","Старая - Удовлетворительно",0.86842105263158,60,457,334,308,20,-,4,1,410,82,328,297,82,215,0.61748633879781,-,0.61748633879781,"2021-09-13 05:31","2021-09-14 14:39","Травин Евгений"
15/09/21-4.1,"МДОУ №66","Московская область, Раменский район, деревня Кузяево, МДОУ №66",Эксплуатационные,2021-09-15,"Рязанов А.В., Травин Е.В., Доплер А.Э.","МДОУ №66","Старая - Удовлетворительно",2.1,6,105,61,54,-,-,-,-,48982,84,48898,147,84,63,1744.1071428571,-,1744.1071428571,"2021-09-14 19:38","2021-10-19 11:20","Травин Евгений"
16/09/21-4.1,"Административное здание корпус 1","г. Москва, ул. Иркутская,  д. 2, кор. 1",Эксплуатационные,2021-09-16,"Рязанов А.В., Травин Е.В., Байнов С.А.","АО «НИИ парашютостроения» ","Старая - Удовлетворительно",0.55338078291815,47,1586,534,533,-,-,3,-,1128,264,864,311,135,176,6.8644083969466,1.6125,5.2519083969466,"2021-09-15 18:40","2021-09-19 11:14","Травин Евгений"
16/09/21-4.2,"Суши-бар ""ТУНЕЦ""","Московская область, г. Люберцы, ул. Камова, д. 9, к.1",Приёмо-сдаточные,2021-09-16,"Рязанов А.В., Травин Е.В., Кузин А.Н.","ИП Афросина Елена Александровна","Новая - Удовлетворительно",1.6153846153846,1,33,13,12,2,12,-,-,21,10,11,21,10,11,-,-,-,"2021-09-15 18:45","2021-09-16 17:46","Травин Евгений"
21/09/21-4.1,Общежитие,"г. Москва, ул. Тимошенко д. 30",Эксплуатационные,2021-09-21,"Рязанов А.В., Травин Е.В., Байнов С.А.","ФГБУ «УПРАВЛЕНИЕ ПО ЭКСПЛУАТАЦИИ ЖИЛОГО ФОНДА»","Старая - Удовлетворительно",0.42874396135266,46,975,786,780,286,-,1,-,1637,252,1385,355,191,164,21.337020517395,0.64210526315789,20.694915254237,"2021-09-21 04:31","2021-09-23 15:09","Травин Евгений"
23/09/21-4.1,"Детский сад №55","Московская обл, г. Раменское, дп. Кратово, ул. Бородинская, д. 6",Эксплуатационные,2021-09-23,"Рязанов А.В., Травин Е.В., Кузин А.Н.","МДОУ № 55 ","Старая - ",0.79381443298969,27,588,193,191,-,-,-,-,193,173,20,154,134,20,0.56521739130435,0.56521739130435,-,"2021-09-23 05:21","2021-09-23 16:15","Травин Евгений"
24/09/21-4.1,"Магазин парфюмерии и косметики «Л’ЭТУАЛЬ»","Московская область, г. Волоколамск, ул. Панфилова, д.22",Эксплуатационные,2021-09-24,"Рязанов А.В., Травин Е.В., Лопатин И.А.","ООО «Алькор и Ко»","Новая - Удовлетворительно",0.23684210526316,4,190,30,30,12,43,-,-,27,24,3,27,24,3,-,-,-,"2021-09-24 04:21","2021-10-04 15:51","Травин Евгений"
27/09/21-4.1,Котельная,"г. Москва, 2-й Лихачевский пер. д.3, стр.5",Эксплуатационные,2021-09-27,"Рязанов А.В., Травин Е.В., Бунин А.В.","ОАО ""Моспищестрой""","Старая - Удовлетворительно",1.9189189189189,7,70,32,29,4,-,2,1,88,72,16,71,55,16,0.41463414634146,0.41463414634146,-,"2021-09-27 04:46","2021-10-01 09:29","Травин Евгений"
27/09/21-4.2,Котельная,"г. Москва, Грайвороновский пр., д.32а",Эксплуатационные,2021-09-27,"Рязанов А.В., Травин Е.В., Бунин А.В.","ОАО ""Моспищестрой""","Старая - Удовлетворительно",1.0333333333333,7,45,54,52,-,-,2,1,107,101,6,62,56,6,0.97826086956522,0.97826086956522,-,"2021-09-27 04:49","2021-10-01 09:45","Травин Евгений"
28/09/21-4.1,"Детский сад комбинированного вида №51","Московская область, город Раменское, ул. Донинское шоссе, д. 6 «А»",Эксплуатационные,2021-09-28,"Рязанов А.В., Травин Е.В., Бунин А.В.","Муниципальное дошкольное образовательное учреждение «Детский сад комбинированного вида №51»","Старая - Удовлетворительно",1.4285714285714,15,94,83,80,-,-,-,-,138,136,2,120,118,2,0.27272727272727,0.27272727272727,-,"2021-09-28 05:37","2021-10-01 08:02","Травин Евгений"
28/09/21-4.2,"Детский сад общеразвивающего вида № 5","Московская область, г. Раменское, ул. Кирова, д. 9",Эксплуатационные,2021-09-28,"Рязанов А.В., Травин Е.В., Бунин А.В.","Муниципальное дошкольное образовательное учреждение Детский сад общеразвивающего вида № 5","Старая - Удовлетворительно",1.8974358974359,11,69,35,34,-,-,-,-,85,70,15,74,59,15,0.35483870967742,0.35483870967742,-,"2021-09-28 05:40","2021-10-01 08:31","Травин Евгений"
29/09/21-4.1,"Комплекс по производству мультикристаллических кремниевых пластин","Московская область, г. Мытищи, Олимпийский проспект, д. 42.",Эксплуатационные,2021-09-29,"Рязанов А.В., Травин Е.В., Доплер А.Э.","ООО «ХЕЛИОС-Ресурс»","Старая - Удовлетворительно",1.1847133757962,35,300,138,131,-,-,4,-,241,-,241,186,-,186,0.36912751677852,-,0.36912751677852,"2021-09-28 19:35","2021-10-01 13:45","Травин Евгений"
30/09/21-4.1,"ПП1-ПП7, ВД4","г.Москва, ул. Маши Порываевой, д. 7 стр. А",Приёмо-сдаточные,2021-09-30,"Рязанов А.В., Травин Е.В., Кучерявых П.М.","ООО ""КОМИТЕТ БЕЗОПАСНОСТИ""","Новая - Удовлетворительно",3.3157894736842,9,56,16,16,-,16,-,-,63,46,17,63,46,17,-,-,-,"2021-09-30 05:31","2021-10-01 09:05","Травин Евгений"
30/09/21-4.2,"Магазин парфюмерии и косметики «Л’ЭТУАЛЬ»","МО, г. Люберцы, ул. Инициативная, д.7 Б, ТЦ «Люберецкие торговые ряды»",Эксплуатационные,2021-09-30,"Рязанов А.В., Травин Е.В., Лопатин И.А.","ООО «Алькор и Ко»","Новая - Удовлетворительно",0.89473684210526,3,196,27,27,11,38,-,-,34,6,28,34,6,28,-,-,-,"2021-09-30 06:04","2021-10-04 15:39","Травин Евгений"
30/09/21-4.3,"Магазин парфюмерии и косметики «Л’ЭТУАЛЬ»","МО, г. Люберцы, Новорязанское ш., д.7, ТЦ «Гренада»",Эксплуатационные,2021-09-30,"Рязанов А.В., Травин Е.В., Лопатин И.А.","ООО «Алькор и Ко»","Новая - Удовлетворительно",0.59090909090909,2,251,31,31,9,43,-,-,26,1,25,26,1,25,-,-,-,"2021-09-30 09:06","2021-10-05 12:42","Травин Евгений"
04/10/21-4.1,"Детский сад общеразвивающего вида №50","Московская обл, г Раменское, поселок им. Тельмана, д.11А",Эксплуатационные,2021-10-04,"Рязанов А.В., Травин Е.В., Кузин А.Н.","МДОУ Детский сад общеразвивающего вида №50","Старая - Удовлетворительно",1.6739130434783,17,201,89,87,-,-,-,-,154,143,11,154,143,11,-,-,-,"2021-10-04 06:01","2021-10-04 15:03","Травин Евгений"
05/10/21-4.1,"Кратовская средняя общеобразовательная школа №28 Пищеблок","Московская область, Раменский муниципальный район, п. Кратово, ул.Чурилина, д.27",Эксплуатационные,2021-10-05,"Рязанов А.В., Травин Е.В., Бунин А.В.","МОУ Кратовская средняя общеобразовательная школа №28","Старая - Удовлетворительно",2.5238095238095,3,67,21,20,-,-,-,-,53,34,19,53,34,19,-,-,-,"2021-10-05 05:19","2021-10-05 11:50","Травин Евгений"
05/10/21-4.2,"Кратовская средняя общеобразовательная школа №28 Пищеблок","Московская область, Раменский муниципальный район, п. Кратово, ул. Горького, д. 59",Эксплуатационные,2021-10-05,"Рязанов А.В., Травин Е.В., Бунин А.В.","МОУ Кратовская средняя общеобразовательная школа №28","Старая - Удовлетворительно",1.3333333333333,2,34,12,11,-,-,-,-,16,11,5,16,11,5,-,-,-,"2021-10-05 05:22","2021-10-05 11:46","Травин Евгений"
05/10/21-4.3,"Магазин верхней одежды «АЛЕФ»","Московская обл., г. Люберцы, Октябрьский пр., 112, ТЦ «Выходной»",Эксплуатационные,2021-10-05,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ООО «МЕДЕЯ»","Старая - Удовлетворительно",1.0769230769231,2,42,21,20,11,24,-,-,28,26,2,28,26,2,-,-,-,"2021-10-05 12:54","2021-10-05 17:14","Травин Евгений"
06/10/21-4.1,"ТРЦ «Авентура»","г. Москва, мкр. Северное Чертаново, дом 1А",Эксплуатационные,2021-10-06,"Рязанов А.В., Травин Е.В., Кузин А.Н.",ООО«КАПЭКС»,"Старая - Удовлетворительно",0.89495798319328,27,360,216,216,10,236,1,-,614,203,411,213,28,185,9.1254741756638,7.6086956521739,1.5167785234899,"2021-10-06 04:57","2021-10-07 14:21","Травин Евгений"
08/10/21-4.1,"ГСК ""МИТИНО-4""","г. Москва, Пятницкое шоссе, д. 41-43",Эксплуатационные,2021-10-08,"Рязанов А.В., Травин Е.В., Доплер А.Э.","ГСК ""МИТИНО-4""","Старая - Удовлетворительно",0.55555555555556,1,19,27,27,-,-,-,-,15,13,2,15,13,2,-,-,-,"2021-10-08 04:51","2021-10-08 14:09","Травин Евгений"
08/10/21-4.2,"ГСК ""МИТИНО-20""","г. Москва, Пятницкое шоссе, влд. 52 к. 1",Эксплуатационные,2021-10-08,"Рязанов А.В., Травин Е.В., Доплер А.Э.","ГСК ""МИТИНО-20""","Старая - Удовлетворительно",1.1428571428571,1,5,21,20,-,-,-,-,48,46,2,24,22,2,1.6,1.6,-,"2021-10-08 04:54","2021-10-08 13:51","Травин Евгений"
08/10/21-4.3,"ГСК ""МИТИНО-24""","г. Москва, Пятницкое ш., влад. 58",Эксплуатационные,2021-10-08,"Рязанов А.В., Травин Е.В., Доплер А.Э.","ГСК ""МИТИНО-24""","Старая - Удовлетворительно",1.9333333333333,1,15,15,13,-,-,-,-,29,27,2,29,27,2,-,-,-,"2021-10-08 04:57","2021-10-08 13:51","Травин Евгений"
09/10/21-4.1,Котельная,"г. Москва, ул. Академика Волгина, д.8, стр. 1",Приёмо-сдаточные,2021-10-09,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ООО ""Тепловые Линии МСК""","Новая - Удовлетворительно",1.6976744186047,6,74,23,23,2,43,1,-,73,66,7,73,66,7,-,-,-,"2021-10-09 05:57","2021-10-10 07:09","Травин Евгений"
11/10/21-4.1,"Административно-складские помещения","Московская область, Ленинский район, г.Видное, промзона Северная промзона, корпус испытательный, помещение 1 ",Эксплуатационные,2021-10-11,"Рязанов А.В., Травин Е.В., Доплер А.Э.","ООО ""ТехноТрансСерв""","Старая - Удовлетворительно",1.2660098522167,78,1511,395,384,1,-,-,-,3087,332,2755,514,184,330,13.667442835188,1.3577981651376,12.309644670051,"2021-10-11 04:42","2021-10-13 15:02","Травин Евгений"
14/10/21-4.1,"Магазин парфюмерии и косметики «Л’ЭТУАЛЬ»","МО, Котельники, Люберецкий р-он, 1-й Покровский пр-д, д.5,  ТЦ «МЕГА-Белая дача», пом. 1043",Эксплуатационные,2021-10-14,"Рязанов А.В., Травин Е.В., Бунин А.В.","ООО «Алькор и Ко»","Старая - Удовлетворительно",0.37579617834395,6,969,118,118,34,138,-,-,659,548,111,59,18,41,55.1875,53,2.1875,"2021-10-14 06:28","2021-10-14 14:52","Травин Евгений"
14/10/21-4.2,"Магазин парфюмерии и косметики «Л’ЭТУАЛЬ»","МО, г.Котельники, 1-й Покровский пр-д, д.1, ТЦ «МЕГА Белая Дача»",Эксплуатационные,2021-10-14,"Рязанов А.В., Травин Е.В., Бунин А.В.","ООО «Алькор и Ко»","Старая - Удовлетворительно",0.39719626168224,5,934,170,170,96,213,-,-,606,567,39,85,46,39,15.787878787879,15.787878787879,-,"2021-10-14 06:40","2021-10-14 14:51","Травин Евгений"
14/10/21-4.3,"Магазин парфюмерии и косметики «Л’ЭТУАЛЬ»","МО, г.Котельники, Новорязанское ш., д.8 «Outlet Village Белая Дача»",Эксплуатационные,2021-10-14,"Рязанов А.В., Травин Е.В., Бунин А.В.","ООО «Алькор и Ко»","Старая - Удовлетворительно",0.75,4,220,40,40,14,52,-,-,928,-,928,39,-,39,30.655172413793,-,30.655172413793,"2021-10-14 06:41","2021-10-15 06:22","Травин Евгений"
18/10/21-4.1,"АНО ""ШКОЛА ""СОГЛАСИЕ""","г. Москва, г. Зеленоград, Каштановая аллея, д. 2А",Эксплуатационные,2021-10-18,"Рязанов А.В., Травин Е.В., Лопатин И.А.","АНО ""ШКОЛА ""СОГЛАСИЕ""","Старая - Удовлетворительно",0.95294117647059,23,319,168,168,-,-,-,-,208,203,5,162,157,5,0.50549450549451,0.50549450549451,-,"2021-10-18 06:15","2021-10-19 13:12","Травин Евгений"
